Code postal 2015	Libellé poste	Population 2012 desservie par le code postal	Population 2012 desservie par le code géo PMSI	Code géographique PMSI 2015	"* Mayotte et Polynésie Française Recensement quinquennal 2012/ Wallis et Futuna Recensement quinquennal 2013/ Nouvelle-Calédonie Recensement quinquennal 2009


"
69360	ST SYMPHORIEN D OZON	 22 095	 22 095	69360	
69370	ST DIDIER AU MONT D OR	 6 403	 6 403	69370	
69380	CHAZAY D AZERGUES	 25 514	 25 514	69380	
69390	VERNAISON	 15 806	 15 806	69390	
69400	VILLEFRANCHE SUR SAONE	 54 667	 54 667	69400	
69410	CHAMPAGNE AU MONT D OR	 5 254	 5 254	69410	
69420	CONDRIEU	 9 564	 9 564	69420	
69430	BEAUJEU	 7 472	 7 472	69430	
69440	MORNANT	 16 467	 16 467	69440	
69450	ST CYR AU MONT D OR	 5 480	 5 480	69450	
69460	ST ETIENNE DES OULLIERES	 8 278	 8 278	69460	
69470	COURS LA VILLE	 4 444	 4 444	69470	
69480	ANSE	 14 831	 14 831	69480	
69490	PONTCHARRA SUR TURDINE	 9 164	 9 164	69490	
69500	BRON	 39 232	 39 232	69500	
69510	SOUCIEU EN JARREST	 12 559	 12 559	69510	
69520	GRIGNY	 9 245	 9 245	69520	
69530	BRIGNAIS	 13 700	 13 700	69530	
69540	IRIGNY	 8 250	 8 250	69540	
69550	AMPLEPUIS	 8 356	 8 356	69550	
69560	STE COLOMBE	 4 826	 4 826	69560	
69570	DARDILLY	 8 519	 8 519	69570	
69580	SATHONAY CAMP	 6 390	 6 390	69580	
69590	ST SYMPHORIEN SUR COISE	 7 730	 7 730	69590	
69600	OULLINS	 25 896	 25 896	69600	
69610	HAUTE RIVOIRE	 8 084	 8 084	69610	
69620	LE BOIS D OINGT	 11 367	 11 367	69620	
69630	CHAPONOST	 7 963	 7 963	69630	
69640	DENICE	 6 654	 6 654	69640	
69650	QUINCIEUX	 6 046	 6 046	69650	
69660	COLLONGES AU MONT D OR	 3 860	 3 860	69660	
69670	VAUGNERAY	 5 195	 5 195	69670	
69680	CHASSIEU	 9 800	 9 800	69680	
69690	BESSENAY	 6 492	 6 492	69690	
69700	GIVORS	 30 370	 30 370	69700	
69720	ST BONNET DE MURE	 12 148	 12 148	69720	
69730	GENAY	 5 181	 5 181	69730	
69740	GENAS	 12 355	 12 355	69740	
69760	LIMONEST	 3 418	 3 418	69760	
69770	MONTROTTIER	 3 688	 3 688	69770	
69780	MIONS	 19 340	 19 340	69780	
69790	ST IGNY DE VERS	 2 036	 2 036	69790	
69800	ST PRIEST	 42 488	 42 488	69800	
69820	FLEURIE	 1 574	 1 574	69820	
69830	ST GEORGES DE RENEINS	 4 292	 4 292	69830	
69840	JULIENAS	 2 449	 2 449	69840	
69850	ST MARTIN EN HAUT	 4 628	 4 628	69850	
69860	MONSOLS	 1 829	 1 829	69860	
69870	GRANDRIS	 6 641	 6 641	69870	
69890	LA TOUR DE SALVAGNY	 3 851	 3 851	69890	
69930	ST LAURENT DE CHAMOUSSET	 2 538	 2 538	69930	
69960	CORBAS	 11 023	 11 023	69960	
69970	CHAPONNAY	 5 376	 5 376	69970	
69115	CHIROUBLES	  411	 2 424	69C01	
69910	VILLIE MORGON	 2 013	 2 424	69C01	
70000	VESOUL	 39 028	 39 028	70000	
70100	GRAY	 18 440	 18 440	70100	
70110	VILLERSEXEL	 7 026	 7 026	70110	
70120	COMBEAUFONTAINE	 3 942	 3 942	70120	
70130	FRETIGNEY ET VELLOREILLE	 5 220	 5 220	70130	
70140	PESMES	 4 307	 4 307	70140	
70150	MARNAY	 5 766	 5 766	70150	
70160	FAVERNEY	 5 731	 5 731	70160	
70170	PORT SUR SAONE	 5 558	 5 558	70170	
70180	DAMPIERRE SUR SALON	 3 323	 3 323	70180	
70190	RIOZ	 11 176	 11 176	70190	
70200	LURE	 22 573	 22 573	70200	
70210	POLAINCOURT ET CLAIREFONTAINE	 4 172	 4 172	70210	
70220	FOUGEROLLES	 3 725	 3 725	70220	
70230	DAMPIERRE SUR LINOTTE	 3 853	 3 853	70230	
70240	SAULX	 3 697	 3 697	70240	
70250	RONCHAMP	 2 930	 2 930	70250	
70270	MELISEY	 4 950	 4 950	70270	
70280	RADDON ET CHAPENDU	 2 269	 2 269	70280	
70290	CHAMPAGNEY	 6 891	 6 891	70290	
70300	LUXEUIL LES BAINS	 17 068	 17 068	70300	
70310	FAUCOGNEY ET LA MER	 2 145	 2 145	70310	
70320	AILLEVILLERS ET LYAUMONT	 3 169	 3 169	70320	
70360	SCEY SUR SAONE ET ST ALBIN	 3 412	 3 412	70360	
70400	HERICOURT	 23 239	 23 239	70400	
70440	SERVANCE	 1 327	 1 327	70440	
70500	JUSSEY	 7 155	 7 155	70500	
70600	CHAMPLITTE	 3 286	 3 286	70600	
70700	GY	 5 983	 5 983	70700	
70800	ST LOUP SUR SEMOUSE	 8 389	 8 389	70800	
71000	MACON	 35 357	 35 357	71000	
71100	CHALON SUR SAONE	 55 005	 55 005	71100	
71110	MARCIGNY	 7 209	 7 209	71110	
71118	ST MARTIN BELLE ROCHE	 1 314	 1 314	71118	
71120	CHAROLLES	 5 929	 5 929	71120	
71130	GUEUGNON	 10 413	 10 413	71130	
71140	BOURBON LANCY	 7 888	 7 888	71140	
71150	CHAGNY	 14 826	 14 826	71150	
71160	DIGOIN	 11 630	 11 630	71160	
71170	CHAUFFAILLES	 6 562	 6 562	71170	
71190	ETANG SUR ARROUX	 5 532	 5 532	71190	
71200	LE CREUSOT	 24 419	 24 419	71200	
71210	MONTCHANIN	 12 616	 12 616	71210	
71220	ST BONNET DE JOUX	 4 682	 4 682	71220	
71230	ST VALLIER	 10 399	 10 399	71230	
71240	SENNECEY LE GRAND	 12 898	 12 898	71240	
71250	CLUNY	 9 995	 9 995	71250	
71260	VIRE	 9 979	 9 979	71260	
71270	PIERRE DE BRESSE	 6 085	 6 085	71270	
71290	CUISERY	 8 686	 8 686	71290	
71300	MONTCEAU LES MINES	 21 616	 21 616	71300	
71310	MERVANS	 4 213	 4 213	71310	
71320	TOULON SUR ARROUX	 2 671	 2 671	71320	
71330	ST GERMAIN DU BOIS	 5 500	 5 500	71330	
71340	IGUERANDE	 3 637	 3 637	71340	
71350	ST LOUP GEANGES	 6 744	 6 744	71350	
71360	EPINAC	 3 886	 3 886	71360	
71370	OUROUX SUR SAONE	 9 161	 9 161	71370	
71380	ST MARCEL	 11 737	 11 737	71380	
71390	BUXY	 9 350	 9 350	71390	
71400	AUTUN	 19 539	 19 539	71400	
71410	SANVIGNES LES MINES	 4 414	 4 414	71410	
71420	CIRY LE NOBLE	 6 353	 6 353	71420	
71430	PALINGES	 3 321	 3 321	71430	
71440	MONTRET	 3 661	 3 661	71440	
71450	BLANZY	 6 481	 6 481	71450	
71460	ST GENGOUX LE NATIONAL	 6 955	 6 955	71460	
71470	ROMENAY	 4 263	 4 263	71470	
71480	CUISEAUX	 5 649	 5 649	71480	
71490	COUCHES	 2 948	 2 948	71490	
71500	LOUHANS	 15 735	 15 735	71500	
71510	ST LEGER SUR DHEUNE	 5 288	 5 288	71510	
71520	MATOUR	 6 282	 6 282	71520	
71530	CRISSEY	 9 738	 9 738	71530	
71540	IGORNAY	 2 004	 2 004	71540	
71550	ANOST	 1 425	 1 425	71550	
71570	LA CHAPELLE DE GUINCHAY	 9 696	 9 696	71570	
71580	SAGY	 5 763	 5 763	71580	
71590	GERGY	 3 091	 3 091	71590	
71600	PARAY LE MONIAL	 14 490	 14 490	71600	
71620	ST MARTIN EN BRESSE	 4 654	 4 654	71620	
71640	GIVRY	 9 437	 9 437	71640	
71670	LE BREUIL	 5 246	 5 246	71670	
71680	CRECHES SUR SAONE	 3 611	 3 611	71680	
